no,m,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,label
2,201802,1340.0,112220.0,90.0,,,16390.0,3.0,,,,,,,1000.0,1.0,,,33360.0,17.0,45480.0,61.0,,,36960.0,26.0,28880.0,22.0,23350.0,18.0,23030.0,24.0,,,,,,,14540.0,8.0,113340.0,46.0,,,,,,,4900.0,2.0,,,,,,,,,49040.0,17.0,35400.0,18.0,21600.0,5.0,7300.0,6.0,,,,,,,,,6800.0,,6800.0,,,,1000.0,,4000.0,3000.0,,,3600.0,10000.0,,,4400.0,,,,,,,22610.0,12.0,,,7190.0,9.0,1000.0,2.0,5590.0,4.0,0.0,1.0,,,4000.0,2.0,12020.0,3.0,,,20500.0,3.0,20500.0,3.0,,,,,4300.0,2.0,,,16200.0,1.0,,,,,9420.0,,2000.0,,16200.0,16200.0,,52400.0,5.0,,,411.0,7.0,8.0,6.0,1.0,1.0,6.0,3.0,1470.0,,201307.0,201802.0,201304.0,201802.0,,,,,,28240.0,73130.0,9.0,15.0,,,,,,,4.0,3.0,0.0,2.0,0.0,2.0,,,,,,,,,,,1
2,201801,80.0,283390.0,143.0,,,4620.0,2.0,,,1830.0,1.0,,,,,,,46020.0,20.0,174610.0,115.0,,,93910.0,39.0,119970.0,48.0,27850.0,29.0,41660.0,27.0,,,,,,,19940.0,12.0,246380.0,62.0,,,,,,,13500.0,4.0,,,,,,,,,101000.0,21.0,89080.0,25.0,16500.0,7.0,39800.0,9.0,,,,,,,,,18820.0,,2790.0,,1830.0,,,,5000.0,5000.0,,,3000.0,12000.0,,,5000.0,,,,,,,32500.0,15.0,13500.0,4.0,17200.0,8.0,,,21000.0,8.0,2000.0,2.0,5700.0,2.0,,,3800.0,3.0,,,,,,,,,,,,,,,,,,,,,5000.0,5000.0,5000.0,,,,,,1.0,,,411.0,7.0,8.0,6.0,1.0,1.0,6.0,3.0,1220.0,,201307.0,201801.0,201304.0,201801.0,,,,,,28000.0,70500.0,9.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,2.0,0.0,2.0,,,,,,,,,,,1
2,201712,1010.0,292410.0,131.0,,,3830.0,3.0,,,,,,,2000.0,3.0,,,58390.0,16.0,222850.0,108.0,,,120810.0,52.0,101110.0,31.0,28760.0,17.0,39670.0,30.0,2060.0,1.0,,,,,22000.0,9.0,287350.0,49.0,,,,,,,,,,,,,,,,,55900.0,13.0,169000.0,25.0,56000.0,7.0,6450.0,4.0,,,,,,,,,11670.0,,1830.0,,,,1000.0,,9390.0,11670.0,,,3000.0,50000.0,,,,,,,,,,1700.0,3.0,,,1700.0,3.0,1200.0,1.0,,,,,,,300.0,1.0,200.0,1.0,,,16390.0,3.0,16390.0,3.0,,,,,16390.0,3.0,,,,,,,,,1200.0,,1200.0,,9390.0,9390.0,,,2.0,,,411.0,7.0,8.0,6.0,1.0,1.0,6.0,3.0,1140.0,,201307.0,201712.0,201304.0,201712.0,,,,,,28000.0,64000.0,8.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,,,,,,,,,,,1
2,201711,10.0,119740.0,60.0,,,,,,,,,,,,,,,36830.0,16.0,65910.0,43.0,,,46820.0,16.0,11530.0,10.0,29100.0,15.0,31290.0,18.0,1000.0,1.0,,,,,22440.0,10.0,105790.0,30.0,,,,,,,2000.0,1.0,,,,,,,,,61400.0,12.0,13500.0,7.0,13500.0,4.0,13390.0,5.0,4000.0,2.0,,,,,,,17000.0,,,,,,,,8000.0,5000.0,,,8000.0,20000.0,,,2000.0,,,,,,,4000.0,2.0,2000.0,1.0,,,,,2000.0,1.0,,,2000.0,1.0,,,,,,,17000.0,1.0,17000.0,1.0,,,,,,,,,,,17000.0,1.0,17000.0,1.0,2000.0,2000.0,,,17000.0,17000.0,17000.0,,2.0,,,411.0,7.0,8.0,6.0,1.0,1.0,6.0,3.0,2830.0,,201307.0,201711.0,201304.0,201711.0,,,,,,28000.0,64000.0,9.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,1
2,201710,2750.0,184770.0,71.0,,,2000.0,1.0,,,,,,,1000.0,1.0,,,62940.0,20.0,114500.0,47.0,,,56470.0,20.0,49670.0,25.0,36340.0,12.0,42290.0,14.0,,,,,,,30940.0,13.0,180370.0,31.0,,,,,,,,,,,,,,,,,51000.0,12.0,74500.0,10.0,23000.0,4.0,31870.0,5.0,,,,,,,,,10000.0,,2000.0,,,,1000.0,,10000.0,10000.0,,,10000.0,30000.0,,,,,,,,,,9660.0,10.0,,,7660.0,8.0,,,2370.0,2.0,1140.0,2.0,1650.0,2.0,3500.0,3.0,1000.0,1.0,,,6000.0,3.0,4000.0,2.0,,,,,1000.0,1.0,3000.0,1.0,2000.0,1.0,,,2000.0,1.0,2000.0,,2000.0,,3000.0,3000.0,2000.0,,4.0,,11000.0,411.0,7.0,8.0,6.0,1.0,1.0,6.0,3.0,2880.0,,201307.0,201710.0,201304.0,201710.0,,,,,,28000.0,64000.0,9.0,15.0,,,,,,,,,,,,,,,,,,,,,,,1
2,201709,1300.0,205870.0,112.0,,,51990.0,3.0,,,,,,,500.0,1.0,,,39460.0,25.0,87920.0,79.0,,,110600.0,39.0,32550.0,22.0,42680.0,29.0,20040.0,22.0,,,,,,,14470.0,12.0,153500.0,44.0,,,,,,,,,,,,,,,,,53500.0,19.0,55000.0,15.0,33000.0,6.0,12000.0,4.0,,,,,,,,,50000.0,,50000.0,,,,500.0,,5000.0,10000.0,,,3000.0,20000.0,,,,,,,,,,20599.0,11.0,,,20599.0,11.0,4000.0,2.0,2000.0,1.0,3000.0,1.0,4599.0,4.0,2000.0,1.0,5000.0,2.0,,,23000.0,4.0,3000.0,1.0,,,,,18000.0,3.0,5000.0,1.0,,,,,20000.0,3.0,3000.0,,3000.0,,10000.0,3000.0,10000.0,,2.0,,,411.0,7.0,8.0,5.0,1.0,1.0,6.0,3.0,2970.0,,201307.0,201709.0,201304.0,201709.0,,,,,,28000.0,64000.0,8.0,15.0,,,,,,,,,,,,,,,,,,,,,,,1
2,201708,270.0,60350.0,77.0,,,,,,,,,,,,,,,8460.0,5.0,42890.0,71.0,,,22450.0,25.0,9170.0,18.0,15920.0,12.0,10810.0,21.0,2000.0,1.0,,,,,4460.0,3.0,62400.0,36.0,,,1500.0,1.0,,,,,,,,,,,,,19100.0,12.0,20500.0,8.0,8300.0,7.0,12500.0,8.0,2000.0,1.0,,,,,,,9000.0,,,,,,,,3000.0,3000.0,,,2000.0,9000.0,1500.0,,,,,,,,,24380.0,13.0,,,12380.0,12.0,1000.0,1.0,4300.0,5.0,13000.0,2.0,2000.0,1.0,4080.0,4.0,,,,,,,,,,,,,,,,,,,,,,,12000.0,,2000.0,,,,,,,,,411.0,7.0,8.0,5.0,1.0,1.0,6.0,3.0,1940.0,,201307.0,201708.0,201304.0,201708.0,,,,,,28000.0,64000.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,,,,1
2,201707,1490.0,103300.0,77.0,,,,,,,,,,,1000.0,2.0,,,54170.0,20.0,41430.0,54.0,,,32100.0,16.0,19690.0,20.0,29760.0,23.0,15750.0,13.0,6000.0,5.0,,,,,18400.0,6.0,103100.0,31.0,,,,,,,,,,,,,,,,,43130.0,17.0,33500.0,7.0,14200.0,4.0,12270.0,3.0,,,,,,,,,8200.0,,,,,,500.0,,8200.0,2000.0,,,4500.0,20000.0,,,,,,,,,,7530.0,5.0,,,7530.0,5.0,,,1000.0,1.0,5530.0,3.0,1000.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2590.0,,2590.0,,,,,,1.0,,,411.0,7.0,8.0,5.0,1.0,1.0,6.0,3.0,3160.0,,201307.0,201707.0,201304.0,201707.0,,,,,,28000.0,47630.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,1
2,201706,2257.0,24035.0,29.0,0.0,0.0,427.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,8290.0,4.0,7440.0,16.0,1000.0,1.0,6990.0,9.0,8480.0,5.0,7365.0,13.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7488.0,4.0,24034.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5447.0,6.0,3700.0,3.0,14887.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6280.0,0.0,169.0,0.0,0.0,0.0,1000.0,0.0,4500.0,1000.0,0.0,0.0,4500.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,8370.0,12.0,0.0,0.0,3870.0,3.0,500.0,1.0,500.0,1.0,2570.0,2.0,2000.0,3.0,1800.0,3.0,1000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,0.0,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,7.0,8.0,5.0,1.0,1.0,6.0,3.0,2257.0,,201307.0,201706.0,201304.0,201706.0,,,,,,28000.0,47630.0,5.0,12.0,,,,,,,,,,,,,,,,,,,,,,,1
2,201705,838.0,43257.0,50.0,0.0,0.0,438.0,8.0,1390.0,1.0,0.0,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,6190.0,2.0,27300.0,33.0,1390.0,1.0,19695.0,15.0,6227.0,8.0,9241.0,13.0,6704.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6190.0,2.0,39387.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3447.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,1.0,34550.0,2.0,0.0,0.0,2000.0,2.0,0.0,0.0,1447.0,5.0,1390.0,1.0,0.0,0.0,0.0,0.0,5600.0,0.0,228.0,1390.0,0.0,0.0,1000.0,0.0,4800.0,2000.0,0.0,0.0,4800.0,30000.0,0.0,0.0,1307.0,0.0,0.0,0.0,1390.0,0.0,0.0,3590.0,5.0,0.0,0.0,3590.0,5.0,0.0,0.0,0.0,0.0,390.0,1.0,3200.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,1.0,1840.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.0,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,1840.0,1840.0,0.0,0.0,2.0,0.0,0.0,411.0,7.0,8.0,5.0,1.0,1.0,6.0,3.0,43980.0,,201307.0,201705.0,201304.0,201705.0,,,,,,28000.0,47630.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,1
2,201704,2599.0,42338.0,42.0,285.0,1.0,426.0,6.0,1390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,2.0,29960.0,32.0,0.0,0.0,17403.0,19.0,7930.0,7.0,8905.0,10.0,8100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,1.0,13599.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6049.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,6049.0,2.0,6550.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,285.0,213.0,1390.0,0.0,0.0,0.0,0.0,4500.0,2000.0,0.0,0.0,4500.0,4550.0,0.0,0.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,3.0,0.0,0.0,2840.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,500.0,500.0,0.0,0.0,1.0,0.0,0.0,411.0,7.0,8.0,5.0,1.0,1.0,6.0,3.0,45390.0,,201307.0,201704.0,201304.0,201704.0,,,,,,28000.0,47630.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,1
